Date,High,Low,Open,Close,Volume
29/11/2024,18.45,17.85,17.9,18.45,2234500
28/11/2024,18.35,17.9,18.35,17.9,828600
27/11/2024,18.2,17.9,18.1,18.2,640300
26/11/2024,18.5,18.0,18.0,18.1,2016400
25/11/2024,17.95,17.7,17.7,17.9,697100
22/11/2024,17.9,17.65,17.85,17.7,736200
21/11/2024,17.9,17.5,17.75,17.9,546300
20/11/2024,17.8,17.15,17.3,17.7,1158900
19/11/2024,18.35,17.3,18.2,17.3,1477500
18/11/2024,18.4,17.8,18.2,18.2,1379400
15/11/2024,18.5,17.7,18.1,18.2,2538700
14/11/2024,18.8,18.15,18.55,18.15,2525000
13/11/2024,18.5,17.95,18.05,18.5,2017500
12/11/2024,18.55,18.1,18.55,18.2,1180900
11/11/2024,18.85,17.95,18.0,18.45,3637700
08/11/2024,18.4,17.7,17.9,18.2,2395800
07/11/2024,18.3,17.65,18.25,17.85,3279400
06/11/2024,35.3,33.4,33.5,34.6,3716400
05/11/2024,33.5,33.0,33.1,33.4,1368000
04/11/2024,33.45,32.8,33.45,32.9,654300
01/11/2024,33.45,33.0,33.0,33.15,618500
31/10/2024,33.2,32.95,33.2,33.15,436900
30/10/2024,33.3,32.85,32.85,33.1,433300
29/10/2024,33.35,32.65,32.8,32.85,574500
28/10/2024,32.9,32.55,32.6,32.7,224300
25/10/2024,33.0,32.55,32.9,32.55,647500
24/10/2024,33.2,32.8,33.05,32.85,636600
23/10/2024,33.35,32.6,33.0,33.05,829100
22/10/2024,33.7,32.5,33.5,33.3,997400
21/10/2024,33.9,33.3,33.3,33.45,575000
18/10/2024,33.6,33.15,33.15,33.3,829900
17/10/2024,33.5,32.95,33.5,33.2,625300
16/10/2024,33.6,33.05,33.2,33.3,379300
15/10/2024,33.6,33.15,33.45,33.15,739700
14/10/2024,33.9,33.3,33.75,33.4,804200
11/10/2024,33.3,33.0,33.25,33.1,362500
10/10/2024,34.0,33.65,34.0,33.7,583600
09/10/2024,33.9,33.25,33.45,33.65,579500
08/10/2024,33.45,33.1,33.3,33.15,819100
07/10/2024,33.35,32.95,33.3,33.15,744300
04/10/2024,33.95,33.05,33.95,33.05,876400
03/10/2024,34.5,33.45,33.7,33.7,1507900
02/10/2024,33.6,33.2,33.2,33.45,917400
01/10/2024,33.6,33.0,33.5,33.45,1127700
