Date,High,Low,Open,Close,Volume
07/08/2024,17.7,17.0,17.3,17.5,31600
06/08/2024,17.85,16.9,17.2,17.4,70200
05/08/2024,17.75,16.7,17.6,17.2,255300
02/08/2024,18.0,17.65,17.7,17.75,173400
01/08/2024,18.5,17.0,17.5,18.5,135600
31/07/2024,17.8,17.5,17.6,17.55,9000
30/07/2024,17.6,17.3,17.3,17.6,65300
29/07/2024,17.75,17.1,17.75,17.5,27200
26/07/2024,17.7,17.3,17.7,17.45,26900
25/07/2024,17.4,17.0,17.0,17.4,44100
24/07/2024,17.35,16.9,17.3,17.3,110400
23/07/2024,17.55,17.3,17.3,17.35,119500
22/07/2024,17.95,17.5,17.9,17.85,63600
19/07/2024,18.15,17.8,18.0,18.0,231900
18/07/2024,18.95,17.6,18.15,18.1,42200
17/07/2024,18.45,17.3,18.45,18.15,87000
16/07/2024,18.75,18.3,18.75,18.6,119400
15/07/2024,18.7,18.6,18.7,18.6,28100
12/07/2024,18.8,18.45,18.75,18.75,150000
11/07/2024,18.8,18.6,18.8,18.7,144700
10/07/2024,18.85,18.6,18.85,18.8,106900
09/07/2024,18.9,18.65,18.9,18.8,73300
08/07/2024,19.0,18.65,19.0,18.85,73400
05/07/2024,18.95,18.65,18.85,18.9,94700
04/07/2024,19.15,18.85,19.15,18.95,74800
03/07/2024,19.2,18.75,18.85,18.95,91700
02/07/2024,18.9,18.7,18.7,18.85,68600
01/07/2024,19.4,18.75,19.4,18.85,100100
28/06/2024,19.5,18.85,19.5,18.85,37200
27/06/2024,19.5,18.65,18.9,19.15,187700
26/06/2024,18.65,18.35,18.35,18.65,59100
25/06/2024,18.9,18.2,18.2,18.65,34900
24/06/2024,18.85,18.4,18.85,18.6,136300
21/06/2024,19.0,18.75,18.85,18.85,88600
20/06/2024,18.9,18.25,18.9,18.85,153000
19/06/2024,18.9,18.75,18.75,18.85,107700
18/06/2024,19.05,18.75,19.05,18.85,39700
17/06/2024,18.8,18.6,18.75,18.75,90700
14/06/2024,19.15,18.65,18.75,18.75,113700
13/06/2024,18.9,18.7,18.85,18.75,121800
12/06/2024,19.0,18.7,18.8,18.85,122700
11/06/2024,19.1,18.6,19.0,18.8,294800
10/06/2024,19.25,19.0,19.05,19.1,194800
07/06/2024,19.5,19.05,19.5,19.05,133500
06/06/2024,20.0,19.0,19.0,19.1,176600
05/06/2024,19.3,19.0,19.1,19.1,197400
04/06/2024,19.25,18.95,19.0,19.1,202100
03/06/2024,19.25,18.85,18.85,19.1,116300
31/05/2024,19.1,18.8,18.8,18.8,194800
30/05/2024,18.9,18.35,18.5,18.8,118300
29/05/2024,19.1,18.6,19.0,18.6,132700
28/05/2024,19.0,18.65,18.85,19.0,112600
27/05/2024,18.85,18.3,18.3,18.85,113800
24/05/2024,19.0,18.0,18.6,18.3,291300
23/05/2024,19.1,18.6,18.8,19.0,227600
22/05/2024,19.7,18.8,19.2,18.8,340500
21/05/2024,19.15,17.9,18.0,19.15,669300
20/05/2024,18.45,17.9,18.35,17.9,251400
