Date,High,Low,Open,Close,Volume
31/12/2024,7.8,7.8,7.8,7.8,0
30/12/2024,7.8,7.8,7.8,7.8,200
27/12/2024,7.69,7.69,7.69,7.69,100
26/12/2024,7.77,7.77,7.77,7.77,0
25/12/2024,7.79,7.77,7.78,7.77,800
24/12/2024,7.29,7.29,7.29,7.29,200
23/12/2024,7.29,7.29,7.29,7.29,100
20/12/2024,7.47,7.45,7.45,7.45,600
19/12/2024,7.19,7.19,7.19,7.19,300
18/12/2024,7.25,7.25,7.25,7.25,0
17/12/2024,7.81,7.25,7.81,7.25,500
16/12/2024,7.38,7.37,7.37,7.37,800
13/12/2024,7.36,7.36,7.36,7.36,100
12/12/2024,7.5,7.5,7.5,7.5,0
11/12/2024,7.51,7.5,7.51,7.5,400
10/12/2024,7.88,7.31,7.31,7.88,200
09/12/2024,7.78,7.4,7.4,7.64,900
06/12/2024,7.47,7.37,7.37,7.47,700
05/12/2024,7.37,7.34,7.34,7.37,1100
04/12/2024,7.37,7.2,7.2,7.37,400
03/12/2024,7.19,7.18,7.18,7.19,200
02/12/2024,7.21,7.21,7.21,7.21,100
29/11/2024,7.86,7.44,7.86,7.45,400
28/11/2024,7.38,7.38,7.38,7.38,100
27/11/2024,7.31,7.31,7.31,7.31,0
26/11/2024,7.31,7.26,7.3,7.31,800
25/11/2024,7.32,7.15,7.15,7.32,800
22/11/2024,7.15,7.15,7.15,7.15,0
21/11/2024,7.15,7.15,7.15,7.15,100
20/11/2024,7.19,7.15,7.18,7.15,1300
19/11/2024,7.45,7.45,7.45,7.45,0
18/11/2024,7.45,7.44,7.44,7.45,700
15/11/2024,7.45,7.45,7.45,7.45,0
14/11/2024,7.45,7.45,7.45,7.45,0
13/11/2024,7.45,7.4,7.4,7.45,1000
12/11/2024,7.4,7.35,7.35,7.4,1000
11/11/2024,7.51,7.27,7.27,7.35,1700
08/11/2024,7.41,7.41,7.41,7.41,0
07/11/2024,7.41,7.41,7.41,7.41,0
06/11/2024,7.41,7.41,7.41,7.41,0
05/11/2024,7.41,7.41,7.41,7.41,0
04/11/2024,7.41,7.41,7.41,7.41,100
01/11/2024,7.4,7.4,7.4,7.4,100
31/10/2024,7.5,7.5,7.5,7.5,0
30/10/2024,7.5,7.5,7.5,7.5,0
29/10/2024,7.5,7.5,7.5,7.5,0
28/10/2024,7.5,7.5,7.5,7.5,100
25/10/2024,7.5,7.5,7.5,7.5,200
24/10/2024,7.51,7.5,7.5,7.5,1800
23/10/2024,7.68,7.68,7.68,7.68,100
22/10/2024,7.69,7.51,7.51,7.69,300
21/10/2024,7.75,7.75,7.75,7.75,0
18/10/2024,7.75,7.21,7.75,7.75,8100
17/10/2024,7.75,7.75,7.75,7.75,0
16/10/2024,7.75,7.75,7.75,7.75,0
15/10/2024,7.75,7.75,7.75,7.75,200
14/10/2024,7.74,7.74,7.74,7.74,1100
11/10/2024,7.74,7.74,7.74,7.74,100
10/10/2024,7.99,7.99,7.99,7.99,100
09/10/2024,8.0,8.0,8.0,8.0,0
08/10/2024,8.0,8.0,8.0,8.0,0
07/10/2024,8.0,8.0,8.0,8.0,300
04/10/2024,8.02,8.02,8.02,8.02,0
03/10/2024,8.02,7.6,7.7,8.02,1000
02/10/2024,7.99,7.99,7.99,7.99,1000
01/10/2024,8.0,8.0,8.0,8.0,100
30/09/2024,8.1,8.1,8.1,8.1,0
27/09/2024,8.1,8.1,8.1,8.1,0
