Date,High,Low,Open,Close,Volume
27/12/2024,49.35,48.0,49.1,49.0,2752900
26/12/2024,50.2,49.05,50.2,49.05,1949500
25/12/2024,51.1,49.9,50.7,49.9,2369600
24/12/2024,51.2,49.6,50.4,50.8,3124500
23/12/2024,50.1,49.0,49.5,50.1,2113800
20/12/2024,49.85,48.4,48.5,49.3,2328500
19/12/2024,49.45,47.2,48.8,48.5,4122400
18/12/2024,49.85,49.0,49.8,49.35,1521600
17/12/2024,49.85,49.0,49.6,49.55,1009100
16/12/2024,50.2,49.25,49.25,49.45,1216800
13/12/2024,49.85,49.25,49.85,49.4,1285300
12/12/2024,50.9,49.45,50.7,49.9,1782900
11/12/2024,51.3,49.35,49.65,50.7,3087600
10/12/2024,50.3,49.1,49.4,49.6,1802200
09/12/2024,50.1,49.0,50.0,49.65,2039700
06/12/2024,51.3,49.8,50.0,49.8,2958000
05/12/2024,50.3,49.1,50.0,50.0,2759700
04/12/2024,50.0,47.2,47.7,50.0,4863400
03/12/2024,49.0,47.6,47.95,47.85,1730600
02/12/2024,49.2,47.6,48.1,48.3,2206000
29/11/2024,48.25,47.2,47.6,48.05,1955400
28/11/2024,47.7,47.0,47.7,47.65,1405400
27/11/2024,48.35,46.8,47.5,47.55,1918600
26/11/2024,47.5,46.75,47.1,47.5,2515000
25/11/2024,47.8,46.4,46.4,47.05,1695300
22/11/2024,47.2,46.25,46.25,46.4,2267000
21/11/2024,46.75,45.2,45.9,46.4,1644500
20/11/2024,46.85,42.7,44.0,45.7,4008100
19/11/2024,48.2,44.0,47.45,44.0,4981100
18/11/2024,48.0,46.05,47.6,47.2,2226800
15/11/2024,48.5,46.7,47.5,47.5,3184500
14/11/2024,49.3,46.25,46.45,48.0,5261500
13/11/2024,46.95,45.5,46.7,46.1,3206900
12/11/2024,47.4,46.1,46.9,46.7,2147900
11/11/2024,47.9,45.9,45.9,46.85,4207800
08/11/2024,46.5,45.5,46.0,45.8,3341900
07/11/2024,45.95,44.05,44.65,45.95,4548500
06/11/2024,44.95,43.95,44.1,44.5,3200700
05/11/2024,44.45,43.25,43.45,43.85,2986500
04/11/2024,43.5,42.4,43.1,43.45,1888700
01/11/2024,43.75,42.85,43.75,43.0,2194000
31/10/2024,44.25,43.35,43.35,43.9,2336600
30/10/2024,44.05,43.25,43.5,43.75,3371100
29/10/2024,43.7,43.05,43.45,43.45,3095400
28/10/2024,43.2,42.0,42.0,43.2,3012500
25/10/2024,42.25,41.2,41.6,42.05,1616800
24/10/2024,42.2,41.35,42.15,41.45,1330900
23/10/2024,42.1,41.1,41.75,42.1,1584300
22/10/2024,42.1,41.1,41.3,41.75,1418200
21/10/2024,42.25,41.5,42.0,41.5,1671100
18/10/2024,42.95,42.15,42.95,42.25,2213700
17/10/2024,43.0,42.1,43.0,42.95,1134000
16/10/2024,43.2,42.2,42.2,42.55,1547000
15/10/2024,42.95,42.2,42.85,42.3,2840500
14/10/2024,43.5,42.75,43.4,42.9,1824700
11/10/2024,43.65,41.95,42.0,43.3,7477400
10/10/2024,42.45,41.75,42.4,41.95,2663900
09/10/2024,42.3,41.5,41.65,42.1,4205700
08/10/2024,41.65,40.45,40.55,41.45,4642800
07/10/2024,40.5,40.1,40.2,40.4,1200800
04/10/2024,40.85,40.0,40.8,40.05,2167200
03/10/2024,41.4,40.6,41.3,40.8,2698700
02/10/2024,41.4,40.5,41.1,41.3,2538500
01/10/2024,41.3,40.6,40.65,41.25,2325000
30/09/2024,41.1,40.4,41.1,40.65,1828200
27/09/2024,41.55,41.05,41.4,41.1,2574600
26/09/2024,41.7,40.75,40.75,41.35,4163100
25/09/2024,40.85,40.4,40.75,40.75,2566200
24/09/2024,40.55,40.15,40.15,40.45,1351900
23/09/2024,40.85,40.2,40.45,40.2,1801400
20/09/2024,40.5,40.05,40.5,40.1,1779100
19/09/2024,39.9,39.4,39.85,39.9,1697500
18/09/2024,39.85,39.3,39.5,39.6,1293500
17/09/2024,39.4,38.75,39.0,39.3,1201600
16/09/2024,39.4,39.0,39.25,39.0,1325400
13/09/2024,39.45,39.1,39.1,39.25,781500
12/09/2024,39.5,39.0,39.5,39.0,955600
11/09/2024,39.5,38.9,39.5,39.0,1907100
10/09/2024,40.0,39.5,40.0,39.6,1462900
09/09/2024,40.05,39.5,39.5,39.7,1200000
06/09/2024,40.65,39.65,40.35,39.8,3347700
05/09/2024,41.55,40.5,41.3,40.6,1772500
04/09/2024,41.3,40.6,40.8,41.1,2055100
30/08/2024,41.25,40.95,41.15,41.25,1593100
29/08/2024,41.35,41.0,41.05,41.05,1302300
28/08/2024,41.5,40.7,41.25,41.1,2296500
27/08/2024,41.95,41.0,41.7,41.25,3190200
26/08/2024,42.5,41.7,41.95,41.8,4009000
23/08/2024,42.2,41.6,41.9,41.85,2558900
22/08/2024,42.2,41.4,41.75,41.9,2323400
21/08/2024,42.15,41.65,42.15,41.7,2545500
20/08/2024,42.15,41.5,41.75,42.0,3553800
19/08/2024,42.4,41.25,41.6,41.95,3939800
16/08/2024,41.5,40.1,40.3,41.5,4372100
15/08/2024,40.5,39.5,40.2,40.0,1995600
14/08/2024,41.3,40.1,41.0,40.2,1867000
13/08/2024,41.2,40.5,41.0,40.65,2199100
12/08/2024,41.2,39.9,40.2,40.9,3136200
09/08/2024,40.3,39.75,40.0,40.15,3056500
08/08/2024,40.35,39.1,39.1,39.55,3615100
07/08/2024,39.85,38.85,39.3,39.5,3145200
06/08/2024,39.2,37.85,38.6,38.9,2764300
05/08/2024,40.3,37.8,38.55,37.8,4268000
02/08/2024,40.0,38.2,39.1,39.5,4020100
01/08/2024,42.5,39.5,42.45,39.5,10568500
31/07/2024,43.7,42.0,43.7,42.45,3555100
30/07/2024,44.65,43.05,43.9,43.35,5708400
29/07/2024,43.4,42.3,43.2,43.35,4654500
26/07/2024,43.75,42.7,42.95,43.1,2585300
25/07/2024,43.7,41.5,41.95,43.0,3640300
24/07/2024,42.6,40.5,41.9,42.3,5629500
23/07/2024,43.5,42.0,42.8,42.0,3824100
22/07/2024,43.0,41.8,42.95,42.05,2700200
19/07/2024,43.8,42.75,43.8,43.0,1671100
18/07/2024,43.95,42.2,42.35,43.95,2405600
17/07/2024,44.8,41.3,44.4,42.5,7402600
16/07/2024,45.45,44.3,45.35,44.35,2869700
15/07/2024,45.9,44.85,44.9,45.15,2271700
12/07/2024,45.3,44.7,44.95,44.85,3384500
11/07/2024,45.4,44.4,44.9,44.5,4019100
